time,currency,title,priority,actual,forecast,previous
"2019-02-15T15:00:00","usd","USD U. of Mich. Sentiment (FEB P)","High","95.5","93.9","91.2"
"2019-02-15T15:00:00","usd","USD U. of Mich. Current Conditions (FEB P)","Low","110.0","116.6","108.8"
"2019-02-15T15:00:00","usd","USD U. of Mich. Expectations (FEB P)","Low","86.2","85.5","79.9"
"2019-02-15T15:00:00","usd","USD U. of Mich. 1 Yr Inflation (FEB P)","Low","2.7%","","2.7%"
"2019-02-15T15:00:00","usd","USD U. of Mich. 5-10 Yr Inflation (FEB P)","Low","2.5%","","2.6%"
"2019-02-15T15:00:00","usd","USD Mortgage Delinquencies (4Q)","Low","4.06%","","4.47%"
"2019-02-15T15:00:00","usd","USD MBA Mortgage Foreclosures (4Q)","Low","0.95%","","0.99%"
"2019-02-15T18:00:00","usd","USD Baker Hughes U.S. Rig Count (FEB 15)","Medium","1051","1044","1049"
"2019-02-15T21:00:00","usd","USD Net Long-term TIC Flows (DEC)","Medium","-$48.3b","","$37.6b"
"2019-02-15T21:00:00","usd","USD Total Net TIC Flows (DEC)","Low","-$33.1b","","$31.0b"
"2019-02-03T01:45:00","cny","CNY Caixin China PMI Composite (JAN)","Medium","50.9","","52.2"
"2019-02-03T01:45:00","cny","CNY Caixin China PMI Services (JAN)","Medium","53.6","53.4","53.9"
"2019-02-03T15:40:00","usd","USD Fed’s Kashkari Speaks at Town Hall Event in Minnesota","Low","","",""
"2019-02-03T21:45:00","nzd","NZD Building Permits (MoM) (DEC)","Medium","5.1%","","-2.0%"
"2019-02-03T23:50:00","jpy","JPY Monetary Base (YoY) (JAN)","Medium","4.7%","4.6%","4.8%"
"2019-02-03T23:50:00","jpy","JPY Monetary Base End of period (JAN)","Medium","¥500.2t","¥500.3t","¥504.2t"
"2019-02-04T00:00:00","aud","AUD TD Securities Inflation (MoM) (JAN)","Low","-0.1%","","0.4%"
"2019-02-04T00:00:00","aud","AUD TD Securities Inflation (YoY) (JAN)","Medium","1.5%","","1.9%"
"2019-02-04T00:30:00","aud","AUD Building Approvals (MoM) (DEC)","Low","-8.4%","2.0%","-9.1%"
"2019-02-04T00:30:00","aud","AUD Building Approvals (YoY) (DEC)","Medium","-22.5%","-10.9%","-32.8%"
"2019-02-04T00:30:00","aud","AUD ANZ Job Advertisements (MoM) (JAN)","Low","-1.7%","","0.0%"
"2019-02-04T01:10:00","jpy","JPY BOJ Outright Bond Purchase 3~5 Years","Low","","",""
"2019-02-04T01:10:00","jpy","JPY BOJ Outright Bond Purchase 1~3 Years","Low","","",""
"2019-02-04T01:10:00","jpy","JPY BOJ Outright Bond Purchase 10~25 Years","Low","","",""
"2019-02-04T01:10:00","jpy","JPY BOJ Outright Bond Purchase 25 Years~","Low","","",""
"2019-02-04T08:30:00","eur","EUR ECB's Mersch Speaks in Budapest","Low","","",""
"2019-02-04T09:00:00","chf","CHF Total Sight Deposits CHF (FEB 1)","Low","576.25b","","576.7b"
"2019-02-04T09:00:00","chf","CHF Domestic Sight Deposits CHF (FEB 1)","Low","482.69b","","481.7b"
"2019-02-04T09:30:00","eur","EUR Euro-Zone Sentix Investor Confidence (FEB)","Low","-3.7","-1.3","-1.5"
"2019-02-04T09:30:00","gbp","GBP Markit/CIPS UK Construction PMI (JAN)","Medium","50.6","52.5","52.8"
"2019-02-04T10:00:00","eur","EUR Euro-Zone Producer Price Index (MoM) (DEC)","Low","-0.8%","-0.5%","-0.3%"
"2019-02-04T10:00:00","eur","EUR Euro-Zone Producer Price Index (YoY) (DEC)","Low","3.0%","3.1%","4.0%"
"2019-02-04T15:00:00","usd","USD Factory Orders (NOV)","Medium","-0.6%","0.3%","-2.1%"
"2019-02-04T15:00:00","usd","USD Factory Orders Ex Trans (NOV)","Low","-1.3%","","0.2%"
"2019-02-04T15:00:00","usd","USD Durable Goods Orders (NOV F)","Medium","0.7%","1.5%","0.8%"
"2019-02-04T15:00:00","usd","USD Durables Ex Transportation (NOV F)","Low","-0.4%","0.00%","-0.3%"
"2019-02-04T15:00:00","usd","USD Cap Goods Orders Nondef Ex Air (NOV F)","Low","-0.6%","-0.1%","-0.6%"
"2019-02-04T15:00:00","usd","USD Cap Goods Ship Nondef Ex Air (NOV F)","Low","-0.2%","0.00%","-0.1%"
"2019-02-04T16:30:00","usd","USD U.S. to Sell USD45 Bln 3-Month Bills","Low","","",""
"2019-02-04T16:30:00","usd","USD U.S. to Sell USD39 Bln 6-Month Bills","Low","","",""
"2019-02-04T21:30:00","aud","AUD AiG Performance of Service Index (JAN)","Medium","44.3","","52.1"
"2019-02-04T22:00:00","aud","AUD CBA Australia PMI Services (JAN F)","Low","51.0","","51.0"
"2019-02-04T22:00:00","aud","AUD CBA Australia PMI Composite (JAN F)","Low","51.3","","51.5"
"2019-02-04T22:30:00","aud","AUD ANZ Roy Morgan Weekly Consumer Confidence Index (FEB 3)","Low","118.1","","116.5"
"2019-02-05T00:00:00","cad","CAD International Merchandise Trade (Canadian dollar) (DEC)","Low","Delayed","","-2.06b"
"2019-02-05T00:00:00","nzd","NZD ANZ Commodity Price (JAN)","Low","2.1%","","-0.2%"
"2019-02-05T00:01:00","gbp","GBP BRC Sales Like-For-Like (YoY) (JAN)","Low","1.8%","-0.2%","-0.7%"
"2019-02-05T00:30:00","aud","AUD Trade Balance (DEC)","Medium","A$3681m","A$2225m","A$1925m"
"2019-02-05T00:30:00","aud","AUD Retail Sales (MoM) (DEC)","Low","-0.4%","0.0%","0.4%"
"2019-02-05T00:30:00","aud","AUD Retail Sales Ex Inflation (QoQ) (4Q)","Medium","0.1%","0.5%","0.2%"
"2019-02-05T00:30:00","jpy","JPY Nikkei Japan PMI Composite (JAN)","Medium","50.9","","52"
"2019-02-05T00:30:00","jpy","JPY Nikkei Japan PMI Services (JAN)","Medium","51.6","","51.0"
"2019-02-05T00:30:00","usd","USD Fed’s Mester Discusses Economic Outlook and Monetary Policy","Low","","",""
"2019-02-05T03:30:00","aud","AUD RBA Cash Rate Target (FEB 5)","High","1.50%","1.50%","1.50%"
"2019-02-05T08:45:00","eur","EUR Markit/ADACI Italy Services PMI (JAN)","Low","49.7","50.0","50.5"
"2019-02-05T08:45:00","eur","EUR Markit/ADACI Italy Composite PMI (JAN)","Low","48.8","49.5","50.0"
"2019-02-05T08:50:00","eur","EUR Markit France Services PMI (JAN F)","Low","47.8","47.5","47.5"
"2019-02-05T08:50:00","eur","EUR Markit France Composite PMI (JAN F)","Low","48.2","47.9","47.9"
"2019-02-05T08:55:00","eur","EUR Markit Germany Services PMI (JAN F)","Low","53.0","53.1","53.1"
"2019-02-05T08:55:00","eur","EUR Markit/BME Germany Composite PMI (JAN F)","Low","52.1","52.1","52.1"
"2019-02-05T09:00:00","eur","EUR Markit Eurozone Services PMI (JAN F)","Low","51.2","50.8","50.8"
"2019-02-05T09:00:00","eur","EUR Markit Eurozone Composite PMI (JAN F)","Low","51.0","50.7","50.7"
"2019-02-05T09:00:00","gbp","GBP New Car Registrations (YoY) (JAN)","Low","-1.6%","","-5.5%"
"2019-02-05T09:30:00","gbp","GBP Markit/CIPS UK Services PMI (JAN)","Medium","50.1","51.0","51.2"
"2019-02-05T09:30:00","gbp","GBP Markit/CIPS UK Composite PMI (JAN)","Medium","50.3","51.5","51.4"
"2019-02-05T09:30:00","gbp","GBP Official Reserves (Changes) (JAN)","Low","$1540m","","$1387m"
"2019-02-05T10:00:00","eur","EUR Euro-Zone Retail Sales (MoM) (DEC)","Low","-1.6%","-1.6%","0.8%"
"2019-02-05T10:00:00","eur","EUR Euro-Zone Retail Sales (YoY) (DEC)","Medium","0.8%","0.5%","1.8%"
"2019-02-05T14:45:00","usd","USD Markit US Services PMI (JAN F)","Low","54.2","54.2","54.2"
"2019-02-05T14:45:00","usd","USD Markit US Composite PMI (JAN F)","Low","54.4","","54.5"
"2019-02-05T15:00:00","usd","USD ISM Non-Manufacturing/Services Composite (JAN)","High","56.7","57.0","58.0"
"2019-02-05T18:00:00","usd","USD U.S. to Sell USD38 Bln 3-Year Notes","Low","","",""
"2019-02-06T01:10:00","jpy","JPY BOJ Outright Bond Purchase 5~10 Years","Low","","",""
"2019-02-06T01:30:00","aud","AUD RBA's Lowe Gives Speech in Sydney","High","","",""
"2019-02-06T02:00:00","usd","US President Donald Trump Delivers State of the Union Address","High","","",""
"2019-02-06T07:00:00","eur","EUR German Factory Orders (MoM) (DEC)","Low","-1.6%","0.3%","-0.2%"
"2019-02-06T07:00:00","eur","EUR German Factory Orders n.s.a. (YoY) (DEC)","Medium","-7%","-6.7%","-3.4%"
"2019-02-06T08:30:00","eur","EUR Markit Germany Construction PMI (JAN)","Medium","50.7","","53.3"
"2019-02-06T12:00:00","usd","USD MBA Mortgage Applications (FEB 1)","Medium","-2.5%","","-3.0%"
"2019-02-06T13:30:00","usd","USD Trade Balance (NOV)","Medium","-$49.3b","-$54.0b","-$55.7b"
"2019-02-06T13:30:00","usd","USD Productivity Release with Limited Data Due to Shutdown","Low","","",""
"2019-02-06T13:30:00","cad","CAD Building Permits (MoM) (DEC)","Medium","6%","-1.0%","2.1%"
"2019-02-06T13:35:00","cad","CAD Bank of Canada Deputy Governor Timoty Lane Speech","Low","","",""
"2019-02-06T14:00:00","mxn","MXN Consumer Confidence Index (JAN)","Medium","111.9","104.1","108.6"
"2019-02-06T14:42:00","nzd","NZD Dairy Auction Avg. Winning Price MT (FEB 6)","Medium","$3,265","","$3,057"
"2019-02-06T14:42:00","nzd","NZD Dairy Auction Whole Milk Powder MT (FEB 6)","Medium","$3,027","","$2,777"
"2019-02-06T15:00:00","cad","CAD Ivey Purchasing Managers Index s.a. (JAN)","Low","54.7","","59.7"
"2019-02-06T15:30:00","usd","USD DOE U.S. Crude Oil Inventories (FEB 1)","Medium","1263k","1850k","919k"
"2019-02-06T15:30:00","usd","USD DOE Cushing OK Crude Inventory (FEB 1)","Low","1441k","","-145k"
"2019-02-06T15:30:00","usd","USD DOE U.S. Gasoline Inventories (FEB 1)","Low","513k","1500k","-2235k"
"2019-02-06T15:30:00","usd","USD DOE U.S. Distillate Inventory (FEB 1)","Low","-2257k","-2000k","-1122k"
"2019-02-06T16:30:00","usd","USD U.S. to Sell USD50 Bln 18-Day CMB","Low","","",""
"2019-02-06T18:00:00","usd","USD U.S. to Sell USD27 Bln 10-Year Notes","Low","","",""
"2019-02-06T21:30:00","aud","AUD AiG Performance of Construction Index (JAN)","Medium","43.1","","42.6"
"2019-02-06T21:45:00","nzd","NZD Unemployment Rate (4Q)","High","4.3%","4.1%","3.9%"
"2019-02-06T21:45:00","nzd","NZD Participation Rate (4Q)","Low","70.9%","71.1%","71.1%"
"2019-02-06T21:45:00","nzd","NZD Employment Change (QoQ) (4Q)","Medium","0.1%","0.3%","1.1%"
"2019-02-06T21:45:00","nzd","NZD Employment Change (YoY) (4Q)","High","2.3%","2.6%","2.8%"
"2019-02-06T21:45:00","nzd","NZD Labor Cost Private Sector (QoQ) (4Q)","Low","0.5%","0.6%","0.5%"
"2019-02-06T21:45:00","nzd","NZD Private Wages ex Overtime (QoQ) (4Q)","Low","0.5%","0.6%","0.5%"
"2019-02-06T21:45:00","nzd","NZD Average Hourly Earnings (QoQ) (4Q)","Low","1.0%","0.8%","1.4%"
"2019-02-06T23:05:00","usd","USD Fed's Quarles Speaks on Bank Stress Testing","Low","","",""
"2019-02-06T23:50:00","jpy","JPY Official Reserve Assets (JAN)","Low","$1279.3b","","$1271.0b"
"2019-02-06T23:50:00","jpy","JPY Japan Buying Foreign Bonds (Yen) (FEB 1)","Low","¥915.3b","","-¥102.6b"
"2019-02-06T23:50:00","jpy","JPY Japan Buying Foreign Stocks (Yen) (FEB 1)","Low","¥-395.1b","","-¥189.4b"
"2019-02-06T23:50:00","jpy","JPY Foreign Buying Japan Bonds (FEB 1)","Low","¥638.3b","","¥604.3b"
"2019-02-06T23:50:00","jpy","JPY Foreign Buying Japan Stocks (FEB 1)","Low","¥-123.8b","","¥166.6b"
"2019-02-07T00:00:00","usd","USD Fed Chairman Powell to Host Town Hall Meeting with Educators","High","","",""
"2019-02-07T00:30:00","aud","AUD NAB Business Confidence (4Q)","Medium","1","","3"
"2019-02-07T02:00:00","jpy","JPY Tokyo Avg Office Vacancies (JAN)","Low","1.82","","1.88"
"2019-02-07T05:00:00","jpy","JPY Leading Index CI (DEC P)","Medium","97.9","97.9","99.1"
"2019-02-07T05:00:00","jpy","JPY Coincident Index (DEC P)","Medium","102.3","102.2","102.9"
"2019-02-07T05:30:00","aud","AUD Foreign Reserves (Australian dollar) (JAN)","Low","A$61.3b","","A$76.3b"
"2019-02-07T07:00:00","eur","EUR German Industrial Production s.a. (MoM) (DEC)","Low","-0.4%","0.8%","-1.9%"
"2019-02-07T07:00:00","eur","EUR German Industrial Production n.s.a. and w.d.a. (YoY) (DEC)","Medium","-3.9%","-3.3%","-4.7%"
"2019-02-07T08:00:00","chf","CHF Foreign Currency Reserves (JAN)","Low","741.5b","731.3b","729.0b"
"2019-02-07T08:30:00","gbp","GBP Halifax House Prices (MoM) (JAN)","Low","-2.9%","-0.7%","2.5%"
"2019-02-07T08:30:00","gbp","GBP Halifax House Price 3Mths/Year (JAN)","Low","0.8%","1.5%","1.3%"
"2019-02-07T09:00:00","eur","EUR ECB Publishes Economic Bulletin","Medium","","",""
"2019-02-07T10:00:00","eur","EUR European Commission publishes Economic Forecasts","Low","","",""
"2019-02-07T12:00:00","gbp","GBP Bank of England Bank Rate (FEB 7)","High","0.75%","0.75%","0.75%"
"2019-02-07T12:00:00","gbp","GBP Bank of England Inflation Report","High","","",""
"2019-02-07T12:00:00","gbp","GBP BOE Corporate Bond Target (FEB)","Low","10b","10b","10b"
"2019-02-07T12:00:00","gbp","GBP BOE Asset Purchase Target (FEB)","High","435b","435b","435b"
"2019-02-07T12:15:00","eur","EUR ECB's Mersch Speaks in Brussels","Low","","",""
"2019-02-07T13:30:00","usd","USD Initial Jobless Claims (FEB 2)","Medium","234K","221k","253k"
"2019-02-07T13:30:00","usd","USD Continuing Claims (JAN 26)","Medium","1736K","1733k","1782k"
"2019-02-07T14:00:00","mxn","MXN CPI (YoY) (JAN)","High","4.37%","4.47%","4.83%"
"2019-02-07T14:00:00","mxn","MXN CPI (MoM) (JAN)","Medium","0.09%","0.18%","0.7%"
"2019-02-07T14:00:00","mxn","MXN CPI Core (MoM) (JAN)","Medium","0.2%","0.23%","0.47%"
"2019-02-07T14:00:00","mxn","MXN Bi-Weekly CPI (JAN 31)","Medium","0.01%","0.13%","0.11%"
"2019-02-07T14:00:00","mxn","MXN Bi-Weekly CPI (YoY) (JAN 31)","Medium","4.21%","4.34%","4.52%"
"2019-02-07T14:00:00","mxn","MXN Bi-Weekly Core CPI (JAN 31)","Medium","0.16%","0.21%","0.08%"
"2019-02-07T14:15:00","usd","USD Fed's Kaplan Speaks in Dallas","Low","","",""
"2019-02-07T14:30:00","usd","USD Fed's Clarida Discusses Paper on Global Factor in Neutral Rate","Low","","",""
"2019-02-07T15:30:00","usd","USD EIA Working Natural Gas Implied Flow (FEB 1)","Low","-237","-247","-173"
"2019-02-07T15:30:00","usd","USD EIA Natural Gas Storage Change (FEB 1)","Low","-237","-247","-173"
"2019-02-07T16:30:00","usd","USD U.S. to Sell 4-Week Bills","Low","","",""
"2019-02-07T16:30:00","usd","USD U.S. to Sell 8-Week Bills","Low","","",""
"2019-02-07T18:00:00","usd","USD U.S. to Sell USD19 Bln 30-Year Bonds","Low","","",""
"2019-02-07T19:00:00","mxn","MXN Overnight Rate (FEB 7)","High","8.25%","8.25%","8.25%"
"2019-02-07T20:00:00","usd","USD Consumer Credit (DEC)","Medium","$16.554B","$15.300b","$22.408b"
"2019-02-07T23:30:00","jpy","JPY Overall Household Spending (YoY) (DEC)","Medium","0.1%","0.8%","-0.6%"
"2019-02-07T23:30:00","jpy","JPY Labor Cash Earnings (YoY) (DEC)","Medium","1.8%","1.7%","1.7%"
"2019-02-07T23:30:00","jpy","JPY Real Cash Earnings (YoY) (DEC)","Medium","1.4%","1.7%","0.8%%"
"2019-02-07T23:50:00","jpy","JPY BoP Current Account Balance (DEC)","Low","¥452.8b","¥469.3b","¥757.2b"
"2019-02-07T23:50:00","jpy","JPY Trade Balance - BOP Basis (Yen) (DEC P)","Medium","¥216.2b","¥132.4b","-¥559.1b"
"2019-02-07T23:50:00","jpy","JPY Adjusted Current Account Total (Yen) (DEC P)","Low","¥1562.3b","¥1501.6b","¥1438.7b"
"2019-02-07T23:50:00","jpy","JPY Housing Loans (YoY) (4Q)","Medium","2.4%","","2.5%"
"2019-02-07T23:50:00","jpy","JPY Bank Lending Ex-Trusts (YoY) (JAN)","Medium","2.4%","","2.5%"
"2019-02-07T23:50:00","jpy","JPY Bank Lending incl Trusts (YoY) (JAN)","Medium","2.4%","","2.4%"
"2019-02-08T00:30:00","aud","AUD RBA Statement on Monetary Policy","Medium","","",""
"2019-02-08T00:30:00","usd","USD Fed's Bullard Speaks at St. Cloud State University","Low","","",""
"2019-02-08T01:10:00","jpy","JPY BOJ Outright Bond Purchase 1~3 Years","Low","","",""
"2019-02-08T01:10:00","jpy","JPY BOJ Outright Bond Purchase 3~5 Years","Low","","",""
"2019-02-08T01:10:00","jpy","JPY BOJ Outright Bond Purchase 5~10 Years","Low","","",""
"2019-02-08T04:30:00","jpy","JPY Bankruptcies (YoY) (JAN)","Medium","4.88%","","-10.63%"
"2019-02-08T05:00:00","jpy","JPY Eco Watchers Survey Current (JAN)","Medium","45.6","48.3","46.8"
"2019-02-08T05:00:00","jpy","JPY Eco Watchers Survey Outlook SA (JAN)","Medium","49.4","48.1","47.9"
"2019-02-08T06:45:00","chf","CHF Unemployment Rate (JAN)","Medium","2.4%","2.7%","2.7%"
"2019-02-08T06:45:00","chf","CHF Unemployment Rate s.a. (JAN)","Medium","2.8%","2.4%","2.4%"
"2019-02-08T07:00:00","eur","EUR German Trade Balance (DEC)","Medium","13.9B","17.3b","20.4b"
"2019-02-08T07:00:00","eur","EUR German Current Account (euros) (DEC)","Low","21.0b","23.3b","21.6b"
"2019-02-08T07:00:00","eur","EUR German Exports s.a. (MoM) (DEC)","Low","1.5%","0.5%","-0.3%"
"2019-02-08T07:00:00","eur","EUR German Imports s.a. (MoM) (DEC)","Low","1.2%","0.4%","-1.3%"
"2019-02-08T07:45:00","eur","EUR French Industrial Production (MoM) (DEC)","Medium","0.8%","0.6%","-1.5%"
"2019-02-08T07:45:00","eur","EUR French Industrial Production (YoY) (DEC)","Medium","-1.4%","-1.4%","-2.2%"
"2019-02-08T07:45:00","eur","EUR French Manufacturing Production (MoM) (DEC)","Medium","1.0%","1.1%","-1.5%"
"2019-02-08T07:45:00","eur","EUR French Manufacturing Production (YoY) (DEC)","Medium","-1.0%","-1.2%","-2.3%"
"2019-02-08T09:00:00","eur","EUR Italian Industrial Production (MoM) (DEC)","Medium","-0.8%","0.4%","-1.6%"
"2019-02-08T09:00:00","eur","EUR Italian Industrial Production NSA (YoY) (DEC)","Medium","-2.5%","-3.3%","-2.6%"
"2019-02-08T09:00:00","eur","EUR Italian Industrial Production WDA (YoY) (DEC)","Medium","-5.5%","-2.7%","-2.6%"
"2019-02-08T13:15:00","cad","CAD Housing Starts (JAN)","Medium","208K","205.0k","213.6K"
"2019-02-08T13:30:00","cad","CAD Unemployment Rate (JAN)","High","5.8%","5.7%","5.6%"
"2019-02-08T13:30:00","cad","CAD Participation Rate (JAN)","Low","65.6%","","65.4%"
"2019-02-08T13:30:00","cad","CAD Net Change in Employment (JAN)","High","66.8k","5K","7.8K"
"2019-02-08T13:30:00","cad","CAD Full Time Employment Change (JAN)","Medium","30.9","","-19.3"
"2019-02-08T13:30:00","cad","CAD Part Time Employment Change (JAN)","Low","36","","27.1"
"2019-02-08T13:30:00","cad","CAD Hourly Wage Rate Permanent Employees (YoY) (JAN)","Medium","1.8%","1.6%","1.5%"
"2019-02-08T18:00:00","usd","USD Baker Hughes U.S. Rig Count (FEB 8)","Medium","1049","","1045"
"2019-02-08T18:15:00","usd","USD Fed's Daly Speaks at Economic Forecast Conference","Low","","",""
"2019-01-27T23:50:00","jpy","JPY Corporate Service Price (YoY) (DEC)","Low","1.1%","1.2%","1.2%"
"2019-01-28T01:10:00","jpy","JPY BOJ Outright Bond Purchase 1~3 Years","Low","","",""
"2019-01-28T01:10:00","jpy","JPY BOJ Outright Bond Purchase 3~5 Years","Low","","",""
"2019-01-28T01:10:00","jpy","JPY BOJ Outright Bond Purchase 10~25 Years","Low","","",""
"2019-01-28T01:10:00","jpy","JPY BOJ Outright Bond Purchase 25 Years~","Low","","",""
"2019-01-28T01:30:00","cny","CNY Industrial Profits (YoY) (DEC)","Medium","-1.9%","","-1.8%"
"2019-01-28T09:00:00","eur","EUR Euro-Zone M3 Money Supply (YoY) (DEC)","Low","4.1%","3.8%","3.7%"
"2019-01-28T09:00:00","chf","CHF Total Sight Deposits CHF (JAN 25)","Low","576.7b","","576.3b"
"2019-01-28T09:00:00","chf","CHF Domestic Sight Deposits CHF (JAN 25)","Low","481.7b","","482.3b"
"2019-01-28T13:30:00","usd","USD Chicago Fed Nat Activity Index (DEC)","Low","0.27","","0.21"
"2019-01-28T14:00:00","eur","EUR ECB's Draghi Speaks in European Parliament in Brussels","High","","",""
"2019-01-28T14:30:00","gbp","GBP BOE's Carney, Broadbent, Ramsden and Place speak at event","High","","",""
"2019-01-28T15:30:00","usd","USD Dallas Fed Manufacturing Activity (JAN)","Low","1.0","-2.7","-5.1"
"2019-01-28T16:30:00","usd","USD U.S. to Sell USD39 Bln 6-Month Bills","Low","","",""
"2019-01-28T16:30:00","usd","USD U.S. to Sell USD40 Bln 2-Year Notes","Low","","",""
"2019-01-28T18:00:00","usd","USD U.S. to Sell USD42 Bln 3-Month Bills","Low","","",""
"2019-01-28T18:00:00","usd","USD U.S. to Sell USD41 Bln 5-Year Notes","Low","","",""
"2019-01-28T21:45:00","nzd","NZD Trade Balance (DEC)","Medium","264m","150m","-861m"
"2019-01-28T21:45:00","nzd","NZD Trade Balance 12 Mth YTD (DEC)","Medium","-5858m","-5812m","-5423m"
"2019-01-28T21:45:00","nzd","NZD Exports (DEC)","Low","5.48b","5.50b","4.94b"
"2019-01-28T21:45:00","nzd","NZD Imports (DEC)","Low","5.22b","5.30b","5.80b"
"2019-01-29T00:30:00","aud","AUD NAB Business Conditions (DEC)","Low","2","","11"
"2019-01-29T00:30:00","aud","AUD NAB Business Confidence (DEC)","Medium","3","","3"
"2019-01-29T07:00:00","chf","CHF Exports (MoM) (DEC)","Low","-5%","","1.7%"
"2019-01-29T07:00:00","chf","CHF Imports (MoM) (DEC)","Low","3.7%","","-1.6%"
"2019-01-29T07:00:00","chf","CHF Swiss Watch Exports (YoY) (DEC)","Low","-2.8%","","4.1%"
"2019-01-29T09:15:00","gbp","GBP BOE's Woods Speaks on Financial Regulation","Low","","",""
"2019-01-29T10:20:00","eur","EUR ECB's Villeroy speaks in Paris","Low","","",""
"2019-01-29T14:00:00","usd","USD S&P/Case-Shiller Composite-20 (YoY) (NOV)","Medium","4.68%","4.9%","5.02%"
"2019-01-29T14:00:00","usd","USD S&P CoreLogic CS 20-City (MoM) SA (NOV)","Medium","0.30%","0.4%","0.42%"
"2019-01-29T14:00:00","usd","USD S&P/Case-Shiller 20-City Index n.s.a (NOV)","Low","213.66","","213.87"
"2019-01-29T14:00:00","usd","USD S&P/Case-Shiller US Home Price Index (YoY) (NOV)","Medium","5.19%","","5.33%"
"2019-01-29T14:00:00","usd","USD S&P/Case-Shiller US Home Price Index (NOV)","Low","205.85","","205.74"
"2019-01-29T15:00:00","usd","USD Consumer Confidence Index (JAN)","High","120.2","124.6","126.6"
"2019-01-29T15:00:00","usd","USD Conf. Board Present Situation (JAN)","Medium","169.6","","171.6"
"2019-01-29T15:00:00","usd","USD Conf. Board Expectations (JAN)","Low","87.3","","99.1"
"2019-01-29T16:30:00","usd","USD U.S. to Sell USD26 Bln 52-Week Bills","Low","","",""
"2019-01-29T16:30:00","usd","USD U.S. to Sell USD20 Bln 2-Year Floating Rate Notes","Low","","",""
"2019-01-29T18:00:00","usd","USD U.S. to Sell USD32 Bln 7-Year Notes","Low","","",""
"2019-01-29T22:30:00","aud","AUD ANZ Roy Morgan Weekly Consumer Confidence Index (JAN 27)","Low","","","115.7"
"2019-01-29T23:50:00","jpy","JPY Retail Trade (YoY) (DEC)","Medium","1.3%","1.0%","1.4%"
"2019-01-29T23:50:00","jpy","JPY Retail Trade s.a. (MoM) (DEC P)","Low","0.9%","0.4%","-1.1%"
"2019-01-29T23:50:00","jpy","JPY Large Retailers' Sales (DEC)","Medium","-1.0%","-1.1%","-2.2%"
"2019-01-30T00:01:00","gbp","GBP BRC Shop Price Index (YoY) (JAN)","Low","0.4%","","0.3%"
"2019-01-30T00:30:00","aud","AUD Consumer Prices Index (QoQ) (4Q)","Medium","0.4%","0.4%","0.4%"
"2019-01-30T00:30:00","aud","AUD Consumer Prices Index (YoY) (4Q)","High","1.8%","1.7%","1.9%"
"2019-01-30T00:30:00","aud","AUD Consumer Prices Index RBA Trimmed Mean (QoQ) (4Q)","Medium","0.4%","0.4%","0.4%"
"2019-01-30T00:30:00","aud","AUD Consumer Prices Index RBA Trimmed Mean (YoY) (4Q)","Medium","1.8%","1.8%","1.8%"
"2019-01-30T00:30:00","aud","AUD Consumer Prices Index RBA Weighted Median (QoQ) (4Q)","Medium","0.4%","0.5%","0.3%"
"2019-01-30T00:30:00","aud","AUD Consumer Prices Index RBA Weighted Median (YoY) (4Q)","Medium","1.7%","1.7%","1.8%"
"2019-01-30T01:10:00","jpy","JPY BOJ Outright Bond Purchase 5~10 Years","Low","","",""
"2019-01-30T05:00:00","jpy","JPY Consumer Confidence Index (JAN)","Medium","41.9","42.4","42.7"
"2019-01-30T06:30:00","eur","EUR French Gross Domestic Product (QoQ) (4Q A)","Low","0.3%","0.2%","0.3%"
"2019-01-30T06:30:00","eur","EUR French Gross Domestic Product (YoY) (4Q A)","Medium","0.9%","0.9%","1.3%"
"2019-01-30T07:00:00","eur","EUR German Import Price Index (MoM) (DEC)","Low","-1.3%","-0.8%","-1.0%"
"2019-01-30T07:00:00","eur","EUR German Import Price Index (YoY) (DEC)","Low","2.1%","2.1%","3.1%"
"2019-01-30T07:00:00","eur","EUR German GfK Consumer Confidence (FEB)","Medium","10.8","10.3","10.4"
"2019-01-30T08:00:00","chf","CHF KOF Leading Indicator (JAN)","Medium","95.0","97.2","96.3"
"2019-01-30T09:00:00","chf","CHF Credit Suisse Survey Expectations (JAN)","Low","-44","","-22.2"
"2019-01-30T09:30:00","gbp","GBP Net Consumer Credit (DEC)","Medium","0.687b","0.8b","0.9b"
"2019-01-30T09:30:00","gbp","GBP Net Lending Sec. on Dwellings (DEC)","Medium","4.1b","3.6b","3.6b"
"2019-01-30T09:30:00","gbp","GBP Mortgage Approvals (DEC)","Medium","63.8k","63.0k","63.95k"
"2019-01-30T09:30:00","gbp","GBP Money Supply M4 (MoM) (DEC)","Low","0.4%","","0.0%"
"2019-01-30T09:30:00","gbp","GBP M4 Money Supply (YoY) (DEC)","Low","2.0%","","0.8%"
"2019-01-30T09:30:00","gbp","GBP M4 Ex IOFCs 3M Annualised (DEC)","Low","4.3%","","2.1%"
"2019-01-30T10:00:00","eur","EUR Euro-Zone Economic Confidence (JAN)","Low","106.2","106.8","107.4"
"2019-01-30T10:00:00","eur","EUR Euro-Zone Business Climate Indicator (JAN)","Low","0.69","0.77","0.86"
"2019-01-30T10:00:00","eur","EUR Euro-Zone Industrial Confidence (JAN)","Low","0.5","0.5","2.3"
"2019-01-30T10:00:00","eur","EUR Euro-Zone Services Confidence (JAN)","Low","11","11.4","12.2"
